#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ADCY5	PRKACG	9606.ENSP00000419361	9606.ENSP00000366488	0	0	0	0	0.124	0.139	0.650	0.245	0.774
ADCY5	PLCB4	9606.ENSP00000419361	9606.ENSP00000367762	0	0	0	0	0.069	0	0	0.402	0.419
ADCY5	CALML5	9606.ENSP00000419361	9606.ENSP00000369689	0	0	0	0	0.049	0.120	0.600	0.047	0.638
ADCY5	GNG7	9606.ENSP00000419361	9606.ENSP00000371594	0	0	0	0	0.096	0	0.600	0.381	0.756
ADCY5	GNG4	9606.ENSP00000419361	9606.ENSP00000375727	0	0	0	0	0.062	0	0.600	0.227	0.684
ADCY5	AKT2	9606.ENSP00000419361	9606.ENSP00000375892	0	0	0	0	0.062	0.058	0.600	0.073	0.628
ADCY5	DRD1	9606.ENSP00000419361	9606.ENSP00000377353	0	0	0	0	0.191	0.056	0	0.486	0.574
ADCY5	CAMK2B	9606.ENSP00000419361	9606.ENSP00000379098	0	0	0	0	0.130	0.077	0.600	0.135	0.685
ADCY5	CAMK2A	9606.ENSP00000419361	9606.ENSP00000381412	0	0	0	0	0.150	0.077	0.600	0.186	0.710
ADCY5	PRKCA	9606.ENSP00000419361	9606.ENSP00000408695	0	0	0	0	0.062	0.213	0.600	0.329	0.775
ADCY5	CALML4	9606.ENSP00000419361	9606.ENSP00000419081	0	0	0	0	0.049	0.120	0.600	0.058	0.642
ADCY5	GNGT2	9606.ENSP00000419361	9606.ENSP00000426022	0	0	0	0	0	0	0.600	0.133	0.638
ADCY5	GNB1	9606.ENSP00000419361	9606.ENSP00000481878	0	0	0	0	0.062	0.070	0.600	0.238	0.698
ADCY5	AKT1	9606.ENSP00000419361	9606.ENSP00000451828	0	0	0	0	0.062	0.058	0.600	0.251	0.700
AKT1	CREB3L3	9606.ENSP00000451828	9606.ENSP00000078445	0	0	0	0	0	0	0.600	0.182	0.658
AKT1	PPP2R5B	9606.ENSP00000451828	9606.ENSP00000164133	0	0	0	0	0.091	0.343	0.900	0.676	0.978
AKT1	PPP1R15A	9606.ENSP00000451828	9606.ENSP00000200453	0	0	0	0	0	0	0	0.421	0.421
AKT1	MAPK13	9606.ENSP00000451828	9606.ENSP00000211287	0	0	0.312	0.603	0.064	0.148	0.600	0.363	0.733
AKT1	SIRT1	9606.ENSP00000451828	9606.ENSP00000212015	0	0	0	0	0.063	0.281	0	0.852	0.891
AKT1	MAPK12	9606.ENSP00000451828	9606.ENSP00000215659	0	0	0.360	0.617	0.064	0.148	0.600	0.467	0.748
AKT1	TAB1	9606.ENSP00000451828	9606.ENSP00000216160	0	0	0	0	0.097	0.163	0	0.347	0.464
AKT1	NFKBIA	9606.ENSP00000451828	9606.ENSP00000216797	0	0	0	0	0.062	0.330	0	0.768	0.841
AKT1	PPP2CB	9606.ENSP00000451828	9606.ENSP00000221138	0	0	0	0	0.065	0.172	0.900	0.227	0.932
AKT1	GSK3A	9606.ENSP00000451828	9606.ENSP00000222330	0	0	0	0.578	0.081	0.900	0.900	0.696	0.992
AKT1	GNB3	9606.ENSP00000451828	9606.ENSP00000229264	0	0	0	0	0.067	0.060	0.650	0.077	0.679
AKT1	MAPK14	9606.ENSP00000451828	9606.ENSP00000229795	0	0	0.303	0.623	0.083	0.830	0.600	0.769	0.956
AKT1	GNB4	9606.ENSP00000451828	9606.ENSP00000232564	0	0	0	0	0.072	0.060	0.650	0.093	0.686
AKT1	GNG13	9606.ENSP00000451828	9606.ENSP00000248150	0	0	0	0	0	0.056	0.650	0	0.655
AKT1	GNG11	9606.ENSP00000451828	9606.ENSP00000248564	0	0	0	0	0	0.056	0.650	0.088	0.672
AKT1	GNGT1	9606.ENSP00000451828	9606.ENSP00000248572	0	0	0	0	0	0.056	0.900	0	0.901
AKT1	PPP1R1B	9606.ENSP00000451828	9606.ENSP00000254079	0	0	0	0	0	0	0	0.427	0.427
AKT1	PLCB2	9606.ENSP00000451828	9606.ENSP00000260402	0	0	0	0	0	0.097	0	0.871	0.879
AKT1	PPP2R5A	9606.ENSP00000451828	9606.ENSP00000261461	0	0	0	0	0.064	0.347	0.900	0.514	0.966
AKT1	PPP2R3C	9606.ENSP00000451828	9606.ENSP00000261475	0	0	0	0	0.083	0.070	0.600	0.086	0.646
AKT1	GNB5	9606.ENSP00000451828	9606.ENSP00000261837	0	0	0	0	0	0.060	0.650	0.147	0.694
AKT1	GNAO1	9606.ENSP00000451828	9606.ENSP00000262494	0	0	0	0	0.053	0.159	0.900	0.328	0.939
AKT1	AKT3	9606.ENSP00000451828	9606.ENSP00000263826	0	0	0.445	0.981	0	0.130	0.800	0.808	0.822
AKT1	ATF2	9606.ENSP00000451828	9606.ENSP00000264110	0	0	0	0	0.051	0.064	0.600	0.430	0.770
AKT1	PPP2R3A	9606.ENSP00000451828	9606.ENSP00000264977	0	0	0	0	0.083	0.070	0.600	0.293	0.726
AKT1	SLC6A3	9606.ENSP00000451828	9606.ENSP00000270349	0	0	0	0	0.062	0	0	0.408	0.421
AKT1	GNAQ	9606.ENSP00000451828	9606.ENSP00000286548	0	0	0	0	0.062	0.159	0	0.791	0.821
AKT1	GNG3	9606.ENSP00000451828	9606.ENSP00000294117	0	0	0	0	0	0.056	0.650	0.087	0.672
AKT1	GNG8	9606.ENSP00000451828	9606.ENSP00000300873	0	0	0	0	0	0.056	0.650	0.057	0.661
AKT1	GNB2	9606.ENSP00000451828	9606.ENSP00000305260	0	0	0	0	0.208	0.060	0.650	0.160	0.752
AKT1	PRKCB	9606.ENSP00000451828	9606.ENSP00000305355	0	0	0	0.868	0	0.456	0	0.560	0.495
AKT1	FOS	9606.ENSP00000451828	9606.ENSP00000306245	0	0	0	0	0	0.064	0	0.704	0.711
AKT1	ITPR1	9606.ENSP00000451828	9606.ENSP00000306253	0	0	0	0	0	0.493	0	0.818	0.904
AKT1	PPP2R1B	9606.ENSP00000451828	9606.ENSP00000311344	0	0	0	0	0.064	0	0.900	0.713	0.970
AKT1	GNAI2	9606.ENSP00000451828	9606.ENSP00000312999	0	0	0	0	0.117	0.159	0.900	0.332	0.943
AKT1	PPP2R1A	9606.ENSP00000451828	9606.ENSP00000324804	0	0	0	0	0.141	0.487	0.900	0.868	0.993
AKT1	GSK3B	9606.ENSP00000451828	9606.ENSP00000324806	0	0	0.218	0.576	0.049	0.934	0.900	0.873	0.996
AKT1	PPP2R2A	9606.ENSP00000451828	9606.ENSP00000325074	0	0	0	0	0.065	0.111	0.600	0.477	0.803
AKT1	PPP1CA	9606.ENSP00000451828	9606.ENSP00000326031	0	0	0	0	0.172	0.700	0	0.447	0.851
AKT1	CREB3L2	9606.ENSP00000451828	9606.ENSP00000329140	0	0	0	0	0	0	0.600	0.147	0.644
AKT1	MAPK11	9606.ENSP00000451828	9606.ENSP00000333685	0	0	0.351	0.596	0.101	0.148	0.600	0.580	0.776
AKT1	GNG2	9606.ENSP00000451828	9606.ENSP00000334448	0	0	0	0	0	0.056	0.650	0.127	0.686
AKT1	PPP2R2C	9606.ENSP00000451828	9606.ENSP00000335083	0	0	0	0	0.065	0.105	0.600	0.167	0.684
AKT1	ATF4	9606.ENSP00000451828	9606.ENSP00000336790	0	0	0	0	0	0	0.600	0.512	0.796
AKT1	PPP2R5E	9606.ENSP00000451828	9606.ENSP00000337641	0	0	0	0	0.064	0.347	0.900	0.325	0.953
AKT1	CAMK2D	9606.ENSP00000451828	9606.ENSP00000339740	0	0	0.381	0.663	0.062	0.282	0	0.230	0.422
AKT1	PPP1CC	9606.ENSP00000451828	9606.ENSP00000341779	0	0	0	0	0.063	0.197	0	0.462	0.560
AKT1	CREB3	9606.ENSP00000451828	9606.ENSP00000342136	0	0	0	0	0	0	0.600	0.245	0.685
AKT1	GNAI1	9606.ENSP00000451828	9606.ENSP00000343027	0	0	0	0	0	0.159	0.900	0.195	0.926
AKT1	CREB5	9606.ENSP00000451828	9606.ENSP00000350359	0	0	0	0	0	0.064	0.600	0.140	0.650
AKT1	MAPK10	9606.ENSP00000451828	9606.ENSP00000352157	0	0	0.396	0.566	0.084	0.101	0	0.579	0.455
AKT1	DRD2	9606.ENSP00000451828	9606.ENSP00000354859	0	0	0	0	0	0.056	0	0.503	0.510
AKT1	CREB3L4	9606.ENSP00000451828	9606.ENSP00000357596	0	0	0	0	0	0	0.600	0.171	0.654
AKT1	GNAI3	9606.ENSP00000451828	9606.ENSP00000358867	0	0	0	0	0	0.159	0.900	0.168	0.923
AKT1	GNG5	9606.ENSP00000451828	9606.ENSP00000359675	0	0	0	0	0.051	0.056	0.650	0.060	0.665
AKT1	GNG12	9606.ENSP00000451828	9606.ENSP00000360021	0	0	0	0	0	0.056	0.650	0.108	0.679
AKT1	GNAS	9606.ENSP00000451828	9606.ENSP00000360141	0	0	0	0	0.079	0.159	0	0.500	0.579
AKT1	GNG10	9606.ENSP00000451828	9606.ENSP00000363411	0	0	0	0	0	0.056	0.650	0.058	0.661
AKT1	ITPR3	9606.ENSP00000451828	9606.ENSP00000363435	0	0	0	0	0.070	0.282	0	0.972	0.980
AKT1	ATF6B	9606.ENSP00000451828	9606.ENSP00000364349	0	0	0	0	0.062	0	0.600	0.079	0.624
AKT1	TH	9606.ENSP00000451828	9606.ENSP00000370571	0	0	0	0	0	0	0	0.536	0.536
AKT1	GNG7	9606.ENSP00000451828	9606.ENSP00000371594	0	0	0	0	0	0.056	0.650	0.046	0.657
AKT1	PPP2R3B	9606.ENSP00000451828	9606.ENSP00000375080	0	0.001	0	0	0.083	0.070	0.600	0.167	0.678
AKT1	GNG4	9606.ENSP00000451828	9606.ENSP00000375727	0	0	0	0	0.049	0.056	0.650	0.060	0.665
AKT1	AKT2	9606.ENSP00000451828	9606.ENSP00000375892	0	0	0.446	0.981	0.065	0.741	0.900	0.891	0.974
AKT1	PPP2R2B	9606.ENSP00000451828	9606.ENSP00000377936	0	0	0	0	0.065	0.161	0.600	0.216	0.721
AKT1	PPP3CA	9606.ENSP00000451828	9606.ENSP00000378323	0	0	0	0	0	0.327	0	0.313	0.518
AKT1	PPP1CB	9606.ENSP00000451828	9606.ENSP00000378769	0	0	0	0	0.063	0.327	0	0.312	0.528
AKT1	MAPK8	9606.ENSP00000451828	9606.ENSP00000378974	0	0	0.417	0.573	0.084	0.315	0	0.810	0.642
AKT1	GRIN2A	9606.ENSP00000451828	9606.ENSP00000379818	0	0	0	0	0.049	0.094	0	0.529	0.559
AKT1	CAMK2A	9606.ENSP00000451828	9606.ENSP00000381412	0	0	0.369	0.658	0.062	0.297	0	0.315	0.452
AKT1	ARNTL	9606.ENSP00000451828	9606.ENSP00000384517	0	0	0	0	0	0	0	0.433	0.433
AKT1	CREB1	9606.ENSP00000451828	9606.ENSP00000387699	0	0	0	0	0.064	0.270	0.900	0.822	0.986
AKT1	MAPK9	9606.ENSP00000451828	9606.ENSP00000394560	0	0	0.410	0.577	0.083	0.315	0	0.668	0.603
AKT1	PPP2R2D	9606.ENSP00000451828	9606.ENSP00000399970	0	0	0	0	0.065	0.111	0.600	0.155	0.681
AKT1	ARRB2	9606.ENSP00000451828	9606.ENSP00000403701	0	0	0	0	0.062	0.704	0	0.989	0.996
AKT1	ARRB1	9606.ENSP00000451828	9606.ENSP00000409581	0	0	0	0	0.049	0.495	0	0.805	0.898
AKT1	PPP2R5C	9606.ENSP00000451828	9606.ENSP00000412324	0	0	0	0	0.064	0.347	0.900	0.389	0.957
AKT1	PPP2R5D	9606.ENSP00000451828	9606.ENSP00000417963	0	0	0	0	0.064	0.347	0.900	0.323	0.953
AKT1	PPP2CA	9606.ENSP00000451828	9606.ENSP00000418447	0	0	0	0	0.068	0.887	0.900	0.752	0.997
AKT1	ADCY5	9606.ENSP00000451828	9606.ENSP00000419361	0	0	0	0	0.062	0.058	0.600	0.251	0.700
AKT1	GNGT2	9606.ENSP00000451828	9606.ENSP00000426022	0	0	0	0	0	0.056	0.650	0.082	0.670
AKT1	GRIA1	9606.ENSP00000451828	9606.ENSP00000428994	0	0	0	0	0	0.060	0	0.496	0.506
AKT1	GRIN2B	9606.ENSP00000451828	9606.ENSP00000477455	0	0	0	0	0	0.070	0	0.504	0.518
AKT1	CREB3L1	9606.ENSP00000451828	9606.ENSP00000481956	0	0	0	0	0.062	0	0.600	0.111	0.637
AKT1	GNB1	9606.ENSP00000451828	9606.ENSP00000481878	0	0	0	0	0.072	0.496	0.900	0.193	0.957
AKT2	CREB3L3	9606.ENSP00000375892	9606.ENSP00000078445	0	0	0	0	0	0	0.600	0.112	0.629
AKT2	PPP2R5B	9606.ENSP00000375892	9606.ENSP00000164133	0	0	0	0	0.064	0.343	0.900	0.219	0.945
AKT2	MAPK13	9606.ENSP00000375892	9606.ENSP00000211287	0	0	0.352	0.616	0.064	0.148	0.600	0.230	0.719
AKT2	SIRT1	9606.ENSP00000375892	9606.ENSP00000212015	0	0	0	0	0.063	0.056	0	0.800	0.808
AKT2	MAPK12	9606.ENSP00000375892	9606.ENSP00000215659	0	0	0.356	0.624	0.064	0.148	0.600	0.397	0.738
AKT2	PPP2CB	9606.ENSP00000375892	9606.ENSP00000221138	0	0	0	0	0.065	0.172	0.900	0.107	0.921
AKT2	GSK3A	9606.ENSP00000375892	9606.ENSP00000222330	0	0	0	0.582	0.076	0.181	0.900	0.516	0.934
AKT2	GNB3	9606.ENSP00000375892	9606.ENSP00000229264	0	0.006	0	0	0.067	0.060	0.650	0.077	0.679
AKT2	MAPK14	9606.ENSP00000375892	9606.ENSP00000229795	0	0	0.332	0.633	0.110	0.148	0.600	0.540	0.763
AKT2	GNB4	9606.ENSP00000375892	9606.ENSP00000232564	0	0.006	0	0	0.072	0.060	0.650	0.058	0.673
AKT2	GNG13	9606.ENSP00000375892	9606.ENSP00000248150	0	0	0	0	0	0.056	0.650	0	0.655
AKT2	GNG11	9606.ENSP00000375892	9606.ENSP00000248564	0	0	0	0	0	0.056	0.650	0	0.655
AKT2	GNGT1	9606.ENSP00000375892	9606.ENSP00000248572	0	0	0	0	0	0.056	0.650	0	0.655
AKT2	PPP2R5A	9606.ENSP00000375892	9606.ENSP00000261461	0	0	0	0	0.064	0.347	0.900	0.199	0.944
AKT2	PPP2R3C	9606.ENSP00000375892	9606.ENSP00000261475	0	0	0	0	0.083	0.070	0.600	0.059	0.636
AKT2	GNB5	9606.ENSP00000375892	9606.ENSP00000261837	0	0	0	0	0	0.060	0.650	0.094	0.676
AKT2	AKT3	9606.ENSP00000375892	9606.ENSP00000263826	0	0	0.444	0.979	0.063	0.057	0.800	0.928	0.813
AKT2	ATF2	9606.ENSP00000375892	9606.ENSP00000264110	0	0	0	0	0	0.064	0.600	0.112	0.638
AKT2	PPP2R3A	9606.ENSP00000375892	9606.ENSP00000264977	0	0	0	0	0.083	0.070	0.600	0.101	0.652
AKT2	GNG3	9606.ENSP00000375892	9606.ENSP00000294117	0	0	0	0	0	0.056	0.650	0.043	0.656
AKT2	GNG8	9606.ENSP00000375892	9606.ENSP00000300873	0	0	0	0	0	0.056	0.650	0	0.655
AKT2	GNB2	9606.ENSP00000375892	9606.ENSP00000305260	0	0.005	0	0	0.072	0.060	0.650	0.058	0.673
AKT2	PPP2R1B	9606.ENSP00000375892	9606.ENSP00000311344	0	0	0	0	0.064	0	0.900	0.168	0.915
AKT2	PPP2R1A	9606.ENSP00000375892	9606.ENSP00000324804	0	0	0	0	0.087	0	0.900	0.331	0.933
AKT2	GSK3B	9606.ENSP00000375892	9606.ENSP00000324806	0	0	0.201	0.580	0.071	0.703	0.900	0.623	0.979
AKT2	PPP2R2A	9606.ENSP00000375892	9606.ENSP00000325074	0	0	0	0	0.067	0.111	0.600	0.112	0.666
AKT2	CREB3L2	9606.ENSP00000375892	9606.ENSP00000329140	0	0	0	0	0	0	0.600	0	0.600
AKT2	MAPK11	9606.ENSP00000375892	9606.ENSP00000333685	0	0	0.353	0.608	0.065	0.148	0.600	0.452	0.748
AKT2	GNG2	9606.ENSP00000375892	9606.ENSP00000334448	0	0	0	0	0	0.056	0.650	0.063	0.663
AKT2	PPP2R2C	9606.ENSP00000375892	9606.ENSP00000335083	0	0	0	0	0.065	0.105	0.600	0.056	0.642
AKT2	ATF4	9606.ENSP00000375892	9606.ENSP00000336790	0	0	0	0	0	0	0.600	0.114	0.630
AKT2	PPP2R5E	9606.ENSP00000375892	9606.ENSP00000337641	0	0	0	0	0.064	0.347	0.900	0.139	0.940
AKT2	CREB3	9606.ENSP00000375892	9606.ENSP00000342136	0	0	0	0	0	0	0.600	0.146	0.644
AKT2	CREB5	9606.ENSP00000375892	9606.ENSP00000350359	0	0	0	0	0	0.064	0.600	0.047	0.612
AKT2	MAPK10	9606.ENSP00000375892	9606.ENSP00000352157	0	0	0.394	0.573	0.084	0.101	0	0.443	0.405
AKT2	CREB3L4	9606.ENSP00000375892	9606.ENSP00000357596	0	0	0	0	0	0	0.600	0.103	0.625
AKT2	GNG5	9606.ENSP00000375892	9606.ENSP00000359675	0	0	0	0	0.051	0.056	0.650	0	0.659
AKT2	GNG12	9606.ENSP00000375892	9606.ENSP00000360021	0	0	0	0	0	0.056	0.650	0	0.655
AKT2	GNG10	9606.ENSP00000375892	9606.ENSP00000363411	0	0	0	0	0	0.056	0.650	0	0.655
AKT2	ATF6B	9606.ENSP00000375892	9606.ENSP00000364349	0	0	0	0	0.062	0	0.600	0	0.608
AKT2	GNG7	9606.ENSP00000375892	9606.ENSP00000371594	0	0	0	0	0	0.056	0.650	0.063	0.663
AKT2	PPP2R3B	9606.ENSP00000375892	9606.ENSP00000375080	0	0.001	0	0	0.083	0.070	0.600	0.101	0.652
AKT2	GNG4	9606.ENSP00000375892	9606.ENSP00000375727	0	0	0	0	0	0.056	0.650	0	0.655
AKT2	MAPK9	9606.ENSP00000375892	9606.ENSP00000394560	0	0	0.408	0.582	0.084	0.101	0	0.455	0.408
AKT2	MAPK8	9606.ENSP00000375892	9606.ENSP00000378974	0	0	0.420	0.577	0.084	0.101	0	0.573	0.452
AKT2	CREB3L1	9606.ENSP00000375892	9606.ENSP00000481956	0	0	0	0	0	0	0.600	0	0.600
AKT2	ADCY5	9606.ENSP00000375892	9606.ENSP00000419361	0	0	0	0	0.062	0.058	0.600	0.073	0.628
AKT2	PPP2R2D	9606.ENSP00000375892	9606.ENSP00000399970	0	0	0	0	0.065	0.111	0.600	0.046	0.640
AKT2	GNGT2	9606.ENSP00000375892	9606.ENSP00000426022	0	0	0	0	0	0.056	0.650	0	0.655
AKT2	PPP2R2B	9606.ENSP00000375892	9606.ENSP00000377936	0	0	0	0	0.065	0.150	0.600	0.111	0.679
AKT2	GNB1	9606.ENSP00000375892	9606.ENSP00000481878	0	0.005	0	0	0.072	0.284	0.650	0.058	0.751
AKT2	PPP2R5D	9606.ENSP00000375892	9606.ENSP00000417963	0	0	0	0	0.064	0.347	0.900	0.139	0.940
AKT2	PPP2R5C	9606.ENSP00000375892	9606.ENSP00000412324	0	0	0	0	0.064	0.347	0.900	0.162	0.941
AKT2	CREB1	9606.ENSP00000375892	9606.ENSP00000387699	0	0	0	0	0.064	0	0.900	0.452	0.944
AKT2	PPP2CA	9606.ENSP00000375892	9606.ENSP00000418447	0	0	0	0	0.072	0.369	0.900	0.208	0.947
AKT2	AKT1	9606.ENSP00000375892	9606.ENSP00000451828	0	0	0.446	0.981	0.065	0.741	0.900	0.891	0.974
AKT3	CREB3L3	9606.ENSP00000263826	9606.ENSP00000078445	0	0	0	0	0	0	0.600	0	0.600
AKT3	PPP2R5B	9606.ENSP00000263826	9606.ENSP00000164133	0	0	0	0	0.064	0.343	0.900	0.210	0.944
AKT3	MAPK13	9606.ENSP00000263826	9606.ENSP00000211287	0	0	0.331	0.616	0.064	0.148	0.600	0.252	0.719
AKT3	SIRT1	9606.ENSP00000263826	9606.ENSP00000212015	0	0	0	0	0.063	0.056	0	0.477	0.497
AKT3	MAPK12	9606.ENSP00000263826	9606.ENSP00000215659	0	0	0.345	0.630	0.064	0.148	0.600	0.390	0.735
AKT3	PPP2CB	9606.ENSP00000263826	9606.ENSP00000221138	0	0	0	0	0.065	0.172	0.900	0.174	0.927
AKT3	GSK3A	9606.ENSP00000263826	9606.ENSP00000222330	0	0	0	0.575	0.051	0.181	0.900	0.634	0.937
AKT3	GNB3	9606.ENSP00000263826	9606.ENSP00000229264	0	0	0	0	0.067	0.060	0.650	0.065	0.674
AKT3	MAPK14	9606.ENSP00000263826	9606.ENSP00000229795	0	0	0.343	0.635	0.065	0.148	0.600	0.458	0.742
AKT3	GNB4	9606.ENSP00000263826	9606.ENSP00000232564	0	0	0	0	0.072	0.060	0.650	0.194	0.721
AKT3	GNG13	9606.ENSP00000263826	9606.ENSP00000248150	0	0	0	0	0	0.056	0.650	0	0.655
AKT3	GNG11	9606.ENSP00000263826	9606.ENSP00000248564	0	0	0	0	0	0.056	0.650	0.049	0.658
AKT3	GNGT1	9606.ENSP00000263826	9606.ENSP00000248572	0	0	0	0	0	0.056	0.650	0	0.655
AKT3	PPP2R5A	9606.ENSP00000263826	9606.ENSP00000261461	0	0	0	0	0.064	0.347	0.900	0.194	0.944
AKT3	PPP2R3C	9606.ENSP00000263826	9606.ENSP00000261475	0	0	0	0	0.083	0.070	0.600	0.059	0.636
AKT3	GNB5	9606.ENSP00000263826	9606.ENSP00000261837	0	0	0	0	0.062	0.060	0.650	0.079	0.677
AKT3	MAPK8	9606.ENSP00000263826	9606.ENSP00000378974	0	0	0.420	0.586	0.084	0.101	0	0.465	0.413
AKT3	GNAQ	9606.ENSP00000263826	9606.ENSP00000286548	0	0	0	0	0.062	0.159	0	0.333	0.427
AKT3	MAPK10	9606.ENSP00000263826	9606.ENSP00000352157	0	0	0.398	0.576	0.117	0.101	0	0.450	0.429
AKT3	CREB3L1	9606.ENSP00000263826	9606.ENSP00000481956	0	0	0	0	0	0	0.600	0	0.600
AKT3	CREB3L4	9606.ENSP00000263826	9606.ENSP00000357596	0	0	0	0	0	0	0.600	0.064	0.609
AKT3	ATF6B	9606.ENSP00000263826	9606.ENSP00000364349	0	0	0	0	0.062	0	0.600	0.047	0.611
AKT3	CREB3L2	9606.ENSP00000263826	9606.ENSP00000329140	0	0	0	0	0	0	0.600	0.074	0.613
AKT3	ATF4	9606.ENSP00000263826	9606.ENSP00000336790	0	0	0	0	0	0	0.600	0.086	0.618
AKT3	CREB3	9606.ENSP00000263826	9606.ENSP00000342136	0	0	0	0	0	0	0.600	0.091	0.620
AKT3	ATF2	9606.ENSP00000263826	9606.ENSP00000264110	0	0	0	0	0.051	0.064	0.600	0.076	0.628
AKT3	PPP2R2D	9606.ENSP00000263826	9606.ENSP00000399970	0	0	0	0	0.065	0.111	0.600	0.046	0.640
AKT3	PPP2R2C	9606.ENSP00000263826	9606.ENSP00000335083	0	0	0	0	0.065	0.105	0.600	0.067	0.646
AKT3	ADCY5	9606.ENSP00000263826	9606.ENSP00000419361	0	0	0	0	0.062	0.058	0.600	0.126	0.649
AKT3	PPP2R3A	9606.ENSP00000263826	9606.ENSP00000264977	0	0	0	0	0.083	0.070	0.600	0.101	0.652
AKT3	GNGT2	9606.ENSP00000263826	9606.ENSP00000426022	0	0	0	0	0	0.056	0.650	0	0.655
AKT3	GNG8	9606.ENSP00000263826	9606.ENSP00000300873	0	0	0	0	0	0.056	0.650	0	0.655
AKT3	PPP2R3B	9606.ENSP00000263826	9606.ENSP00000375080	0	0.001	0	0	0.083	0.070	0.600	0.121	0.660
